Designator,Mid X,Mid Y,Rotation,Layer
C101,0.0,0.0,180.0,bottom
C103,1.524,3.048,0.0,bottom
C104,1.524,1.524,0.0,bottom
C105,1.524,-3.048,0.0,bottom
C106,1.524,-1.524,0.0,bottom
C107,-1.524,3.048,180.0,bottom
C108,-1.524,1.524,180.0,bottom
C109,-1.524,-3.048,180.0,bottom
C110,-1.524,-1.524,180.0,bottom
L101,0.0,0.0,180.0,bottom
TP101,0.0,0.0,255.0,top
TP102,0.0,0.0,105.0,top
TP103,0.0,0.0,330.0,top
TP104,0.0,0.0,300.0,top
TP105,0.0,0.0,270.0,top
TP106,0.0,0.0,240.0,top
TP107,0.0,0.0,30.0,top
TP108,0.0,0.0,60.0,top
TP109,0.0,0.0,90.0,top
TP110,0.0,0.0,120.0,top
